record - leader,001,008,035,040,245,260,310,336,337,338,653,264,996,998,650,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505
00820nas  2200229u  4500,9917331560101480,960604d19851991be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001733156LBS01-Aleph^$ $ $a6517108^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917331560101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aACW : maandelijkse nieuwsbrief van het Algemeen christelijk werkersverbond Land van Waas.,^$ $ $aSint-Niklaas$ $ $bACW. Land van Waas$ $ $c1985-1991,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aACW. Land van Waas$ $ $4oth,,,,,,,^$ $ $aVoortgezet als: ACW nieuwsbrief,,,,,,,,,,,,,,,,,,,
00768nas  2200217u  4500,9917422270101480,960604d19851991be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001742227LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917422270101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBlik$ $ $bdriemaandelijks tijdschrift van de christen-democratische studenten - Antwerpen,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1984]-[1987]^$ $1$aAntwerpen$ $ $bCDS-Antwerpen$ $ $3[1984]-[1987],^$ $ $aKADOC$ $ $bphysical$ $ $c202106$ $ $9local,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aChristen democratische studenten$ $ $cAntwerpen$ $ $4oth,,,,,^$1$0$aEen blik door het raam$ $ $g[1984],,,,,,,,,,,,,,,,,,,,,
00572nas  2200193u  4500,9917431260101480,960701q19811995be br|p||     0|||a|und c,^$ $ $a(BeLVLBS)001743126LBS01-Aleph^$ $ $a6563099^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917431260101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCaminhar juntos.,^$ $ $aS.l.$ $ $bAnimatiewerk Dirk Segal$ $ $c[1981]-[1995],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$2$ $aAnimatiewerk Dirk Segal$ $ $4oth,^$1$1$aSamen onderweg,,,,,,,,,,,,,,,,,,,,,,,,,
00702nas  2200217u  4500,9917435310101480,960701q19811995be br|p||     0|||a|und c,^$ $ $a(BeLVLBS)001743531LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917435310101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aGuatemala informatie.,^$ $ $aVeurne$ $ $bVlaams Guatemala komitee$ $ $c1983-[1991],^$ $ $aOther,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319^$ $7$2KADOC$ $ $abasisgemeenschappen$ $ $6(ODIS-TW)215,,,^$ $ $aFrequentie varieert,,,,,,,,,,,,,,,,,,,,,,,,
00587nas  2200169u  4500,9917435650101480,960701q19811995be br|p||     0|||a|und c,^$ $ $a(BeLVLBS)001743565LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917435650101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBeweging$ $ $bdriemaandelijks tijdschrift van de christelijke werknemers verbond Land en Waas.,^$ $ $aSint-Niklaas$ $ $bACW. Verbond Land van Waas$ $ $c[1983]-[1986],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00584nas  2200193u  4500,9917489000101480,960726q19841997be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001748900LBS01-Aleph^$ $ $a6595280^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917489000101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$a't Merelnestje.,^$ $ $aS.l.$ $ $bVriendenkring 't merelnestje$ $ $c1984-[1997],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^$ $7$2KADOC$ $ $aHOOFDTREFWOORD-00,,,,,,,,,,,,,,,,,,,,,,,,,,,
00772nas  2200205u  4500,9917630210101480,960726q19841997be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001763021LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917630210101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aWelzijnswerk. Service en informatie.,^$ $ $aBrussel$ $ $bVerbond van instellingen voor welzijnswerk$ $ $c1984-[1996],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aVIW$ $ $gVerbond van instellingen voor welzijnswerk$ $ $4oth^$2$ $aFederatie van autonome centra voor maatschappelijk werk$ $ $4oth^$2$ $aFederatie van consultatiebureaus voor levens- en gezinsproblemen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00812nas  2200253u  4500,9917630600101480,960726q19841997be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001763060LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917630600101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aLekkernieuws Covee,,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1984-[2005]^$ $1$aKampenhout$ $ $bCovee$ $ $31984-[2005],^$ $ $aKADOC$ $ $bphysical$ $ $c202006$ $ $9local,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alandbouw$ $ $6(ODIS-TW)1131,^$2$ $aCovee$ $ $4oth,,^$ $ $aPeriodiciteit varieert,,,^$1$0$aCovee's Lekkernieuws$ $ $g1993-1996^$1$0$aDe Lekkerkrant$ $ $g1984-1993,,,,,,,,,,,,,,,,,,,,,
00554nas  2200181u  4500,9917642190101480,960726q19841997be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001764219LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917642190101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$3$a't Aceeveetje.,^$ $ $aAalst$ $ $bACV. Verbond Aalst$ $ $c[1981]-[1983],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
00537nas  2200181u  4500,9917643770101480,960726q19841997be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001764377LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917643770101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$3$a't ACV krantje.,^$ $ $aLeuven$ $ $bACV. Verbond Leuven$ $ $c1983-[1985],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aACV. Verbond Leuven.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00534nas  2200181u  4500,9917675490101480,961003d19819999be ur|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001767549LBS01-Aleph^$ $ $a6681642^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917675490101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aBulletin de l'Armée de Marie.,^$ $ $aS.l.$ $ $bArmée de Marie$ $ $c[1981]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$2$ $aArmée de Marie$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00603nas  2200181u  4500,9917692320101480,961008q19841989be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001769232LBS01-Aleph^$ $ $a6689755^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917692320101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCEPO. Bulletin de liaison.,^$ $ $aBruxelles$ $ $bCommission d'étude et de pastorale ouvrière$ $ $c[1984]-[1989],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$2$ $aCommission d'étude et de pastorale ouvrière.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00529nas  2200181u  4500,9917706850101480,961014q19841990be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001770685LBS01-Aleph^$ $ $a6696036^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917706850101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCAO-tijdingen.,^$ $ $aGent$ $ $bCAO Sint-Lucas$ $ $c[1984]-[1990],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,^$2$ $aCAO Sint-Lucas$ $ $cGent$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00678nas  2200205u  4500,9917720460101480,961014q19841990be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001772046LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917720460101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aHerfstlicht-eigentijds.,^$ $ $aBrussel$ $ $bKristelijke beweging van gepensioneerden$ $ $c1985-1997,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,^$1$8$w(BeLVLBS)001026223LBS01-Aleph$ $ $tHerfstlicht$ $ $4780,,,,^$ $ $aVoortzetting van : Herfstlicht^$ $ $aVoortgezet als : Eigentijds,,,,,,,,,,,,,,,,,,,
00575nas  2200169u  4500,9917818650101480,961014q19841990be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001781865LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917818650101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aChristelijk verbond van ziekenfondsen. Jeugddienst. Nieuwsbrief.,^$ $ $aAntwerpen$ $ $bChristelijk verbond van ziekenfondsen. Jeugddienst$ $ $c[1982]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00525nas  2200181u  4500,9917824560101480,961119q19831985be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001782456LBS01-Aleph^$ $ $a6754927^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917824560101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$a't Zaaierke.,^$ $ $aMechelen$ $ $b't Zaaierke$ $ $c1983-[1985],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00586nas  2200193u  4500,9917844240101480,961125q19831985be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001784424LBS01-Aleph^$ $ $a6765296^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917844240101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aGeloof en licht.,^$ $ $aOnze-Lieve-Vrouw-Waver$ $ $bGeloof en licht$ $ $c1983-[1985],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,^$2$ $aGeloof en licht$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00630nas  2200193u  4500,9917845350101480,961125q19831985be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001784535LBS01-Aleph^$ $ $a6765766^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917845350101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aLourdes : kontaktblad.,^$ $ $aLeopoldsburg$ $ $bLourdesbedevaart van het Belgisch leger$ $ $c[1983]-[1985],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,^$2$ $aLourdesbedevaart van het Belgisch leger$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00550nas  2200169u  4500,9917875680101480,961125q19831985be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001787568LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917875680101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aInfo.,"^$ $ $aMol$ $ $bChristelijke centrale van werknemers uit de steen-, cement-, ceramiek- en glasbedrijven$ $ $c1984-[1987]",^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00545nas  2200181u  4500,9917886540101480,961204q19839999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001788654LBS01-Aleph^$ $ $a6784216^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917886540101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe Franciscaanse lekenorde.,^$ $ $aS.l.$ $ $bFranciscaanse lekenorde$ $ $c[1983]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00636nas  2200205u  4500,9917896540101480,961209q19851988be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001789654LBS01-Aleph^$ $ $a6788972^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917896540101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aJA.,^$ $ $aTurnhout$ $ $bDekenij Turnhout. Jeugdwerking Abram$ $ $c1985-[1988],^$ $ $aBimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,^$2$ $aDekenij Turnhout. Jeugdwerking Abram$ $ $4oth,^$1$1$aJeugdwerking Abram,,,,,,,,,,,,,,,,,,,,,,,,,
00691nas  2200229u  4500,9917906510101480,961210q19822009be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001790651LBS01-Aleph^$ $ $a6793329^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917906510101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe Ranchi-vriend,,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1982]-^$ $1$aRanchi$ $ $bDe Ranchi-vriend$ $ $3[1982]-[2009],^$ $ $aKADOC$ $ $bphysical$ $ $c201702$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,,,,,,,,,,,,,,,,,,,,,,,,,,,
00700nas  2200217u  4500,9917922580101480,961216q19822010be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001792258LBS01-Aleph^$ $ $a6801186^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917922580101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aLe fil.,^$ $ $aBruxelles$ $ $bLumen Vitae$ $ $c[1982]-[2010],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201507$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT),"^$2$ $aCentre International d'Etudes de la Formation Réligieuse,$ $ $d1946-$ $ $4oth",,,,,,,,,,,,,,,,,,,,,,,,,,
00631nas  2200205u  4500,9917922870101480,961216q19822003be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001792287LBS01-Aleph^$ $ $a6801288^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917922870101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aKontakt.,^$ $ $aAntwerpen$ $ $bGezinspastoraal. Bisdom Antwerpen$ $ $c[1982]-[2003],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,,^$2$ $aGezinspastoraal. Bisdom Antwerpen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00667nas  2200205u  4500,9917967020101480,970113q19851998cg ur|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001796702LBS01-Aleph^$ $ $a6823700^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917967020101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTous ensemble : bulletin d'information du diocèse de Kalemie-Kirungu.,^$ $ $aS.l.$ $ $bTous ensemble$ $ $c[1985]-[1998],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
00477nas  2200169u  4500,9917992980101480,970120quuuu1984be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001799298LBS01-Aleph^$ $ $a6836532^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917992980101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCVD-info haven.,^$ $ $aZeebrugge$ $ $bCVD$ $ $c[?]-[1984],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00690nas  2200193u  4500,9917997640101480,970120quuuu1984be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001799764LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917997640101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBureau international catholique de l'enfance. Contact.,^$ $ $aGenève$ $ $bBureau international catholique de l'enfance$ $ $c[1985]-[1987],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aBICE$ $ $gBureau international catholique de l'enfance$ $ $4oth,,"^$ $ $aOok Engelse, Spaanse en Duitse editie",,,,,,,,,,,,,,,,,,,,,,,,
00734nas  2200217u  4500,9917997870101480,970120quuuu1984be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001799787LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917997870101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$3$aLe courrier du CGAL,,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1983]-[1996]^$ $1$aBruxelles$ $ $bConseil Général de l'Apostolat des Laïcs$ $ $3[1983]-[1996],^$ $ $aKADOC$ $ $bphysical$ $ $c202001$ $ $9local,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alekenapostolaat$ $ $6(ODIS-TW)1167,^$2$ $aConseil général de l'apostolat des laïcs.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00573nas  2200193u  4500,9918002820101480,970122q19811988be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001800282LBS01-Aleph^$ $ $a6840862^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918002820101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aClauwaert-info.,^$ $ $aKorbeek-Lo$ $ $bDe Clauwaert$ $ $c[1981]-[1988],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
00678nas  2200205u  4500,9918003410101480,970122q19811996be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001800341LBS01-Aleph^$ $ $a6841080^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918003410101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCMBV. Contact.,^$ $ $aSint-Truiden$ $ $bCMBV. St. Truiden$ $ $c[1981]-[1996],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amiddenstand$ $ $6(ODIS-TW)1293,^$2$ $aCMBV. St. Truiden$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00729nas  2200229u  4500,9918014960101480,970127q19841990be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001801496LBS01-Aleph^$ $ $a6846309^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918014960101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aDossier Nicaragua.,,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1984]-[1990]^$ $1$aBrussel$ $ $bKommitee Europa-Nicaragua,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aKommitee Europa-Nicaragua$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00624nas  2200181u  4500,9918023050101480,970127q19841990be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001802305LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918023050101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aDossier.,"^$ $ $aS.l.$ $ $bVerbond der christelijke mutualiteiten Oostende, Veurne, Diksmuide$ $ $c[1983]-[1985]",^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,"^$2$ $aVerbond der christelijke mutualiteiten$ $ $cOostende, Veurne, Diksmuide$ $ $4oth",,,,,,,,,,,,,,,,,,,,,,,,,,
00622nas  2200205u  4500,9918036180101480,970127q19841990be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001803618LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918036180101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBezinningscentrum EBBE,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1982]-[1984]^$ $1$aBaal$ $ $bBezinningscentrum EBBE,^$ $ $aKADOC$ $ $bphysical$ $ $c202010$ $ $9local,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aBezinningscentrum EBBE$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
